"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stflife"
"ESS3e03_7",3,"3.7","01.12.2018",3005,"BG",1.5359,1.2390388,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",3007,"BG",0.768,0.54212475,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3010,"BG",0.768,0.9152925,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",3012,"BG",1.1519,1.8887569,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3014,"BG",0.768,0.83241796,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3019,"BG",0.768,0.83241796,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3101,"BG",0.384,0.392181,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3104,"BG",1.5359,1.6647274,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3105,"BG",1.5359,1.8879638,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",3106,"BG",1.5359,1.8879638,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3112,"BG",0.768,0.83241796,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3116,"BG",1.1519,1.3440278,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3120,"BG",0.384,0.41620898,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3201,"BG",1.1519,0.7986461,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3202,"BG",0.768,0.54212475,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",3203,"BG",0.768,0.83241796,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3204,"BG",0.384,0.45764625,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",3207,"BG",0.768,0.9152925,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3213,"BG",1.1519,1.3728195,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",3220,"BG",1.5359,1.0648845,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",3301,"BG",1.9199,1.2081333,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",3302,"BG",1.1519,0.7503573,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3304,"BG",0.768,0.5678053,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3307,"BG",0.768,0.5678053,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3309,"BG",0.384,0.48139438,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3310,"BG",0.384,0.28390265,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",3320,"BG",0.768,0.9247431,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",3402,"BG",1.1519,1.5098858,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3406,"BG",0.384,0.24163926,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3407,"BG",1.5359,0.9664941,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",3410,"BG",0.768,0.5678053,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3414,"BG",0.768,0.5678053,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",3416,"BG",1.9199,1.4451576,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",3417,"BG",0.768,0.4832785,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3504,"BG",1.1519,1.1853701,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3510,"BG",1.1519,2.0140705,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3511,"BG",1.1519,0.7503573,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3514,"BG",0.384,0.2890466,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3515,"BG",1.9199,2.2190006,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3516,"BG",0.768,0.5945976,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3519,"BG",0.768,0.5678053,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3602,"BG",0.384,0.44382325,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3603,"BG",1.1519,1.1853701,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3604,"BG",0.768,0.5678053,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3605,"BG",0.384,0.2972988,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",3610,"BG",1.5359,1.1169573,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",3616,"BG",1.5359,2.6854856,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",3617,"BG",0.768,0.8876465,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",3706,"BG",1.5359,1.8493658,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",3710,"BG",1.1519,1.4639022,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",3714,"BG",0.384,0.44382325,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",3715,"BG",0.768,0.8876465,0.4767642,,,,,9
"ESS3e03_7",3,"3.7","01.12.2018",3716,"BG",0.768,0.5780932,0.4767642,,,,,1
